OBJECTID,Point of Origin Jurisdictional Unit Identifier,Point of Origin Protecting Unit Identifier,Reported Unit Identifier,Fire Incident Number,Fire Code,Incident Name,Fire Discovered Calendar Year,Fire Discovered Date,Fire Discovered Date Estimated Flag,Fire Control Date,Fire Control Date Estimated Flag,Incident General Cause Name,Collection Method,Total Reported Acres,GIS Acres,Complex Name,Irwin Identifier,Wildland Fire Perimeter Comments,Administrative Unit Code,Administrative State Code,GlobalID,Created Date,Created By Name,Modified Date,Modify By Name,created_user,created_date,last_edited_user,last_edited_date,Original_GlobalID,Unique Fire Identifier,Shape__Area,Shape__Length
166501,Unknown,USNVCCD,USNVCCD,0,J744,Park,1996,11/13/1996 12:00:00 AM,NO,11/13/1996 12:00:00 AM,NO,Human,Unknown,80,49.09653919,,,added by DWELTY from corporate data,CAC01000,CA,35e8d527-021e-42c4-9832-ece056271415,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{4B5ECDA4-463D-4212-B5A1-F5B791936844},1996-NVCCD-000000,2.05459086828341E-05,0.0378878373346703
166629,USNVCCD,USNVCCD,USNVCCD,2586,DG3G,Petersen 7,2007,5/30/2007 12:00:00 AM,NO,6/1/2007 12:00:00 AM,NO,Natural,GPS-Flight,106,105.4036564,,,,NVC00000,CA,3aae94dc-65e5-4bd3-9573-b540c786eb05,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{C8DD5ED2-63E0-4ED9-B8EB-8CC6426304E5},2007-NVCCD-002586,4.47735778834613E-05,0.026355077220507
166631,USCANOD,USNVCCD,USCANOD,2634,DG53,Honey 1,2007,6/2/2007 12:00:00 AM,NO,6/5/2007 12:00:00 AM,NO,Natural,GPS-Walked,234,234.65085233,,,,CAN01000,CA,84c2f959-0920-4d58-9806-f2a0dbbd33dd,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{91127493-F663-4053-B5BB-5C44CB63176C},2007-CANOD-002634,0.000100237278729765,0.104508105664414
166657,USNVCCD,USNVCCD,USCANOD,3740,BA9S,Ccd Border,2004,8/11/2004 12:00:00 AM,NO,8/15/2004 12:00:00 AM,NO,Natural,GPS-Flight,350,350.87418403,,,,NVC00000,CA,fc4e86be-69e2-456c-b375-649c1bbcd9d5,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{5D981708-69C4-4B53-9905-84882681D00E},2004-CANOD-003740,0.000148991936839593,0.0509197250969608
166673,USCANOD,USNVCCD,USCANOD,0,D714,Ccd Turtle,2003,6/11/2003 12:00:00 AM,NO,6/12/2003 12:00:00 AM,NO,Natural,Unknown,100,94.90366097,,,,CAN01000,CA,b43d106b-5b77-4510-aee9-79fcbcd9e4fe,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{506129A6-4D08-499A-BC3D-97027DFC5517},2003-CANOD-000000,4.05148402933264E-05,0.045681792751142
166680,USCATNF,USNVCCD,USCANOD,0,U581,Tnf Chil,2003,7/20/2003 12:00:00 AM,NO,7/24/2003 12:00:00 AM,NO,Natural,Unknown,1000,5427.63074707,Chilcoot,,,NVC00000,CA,723e0358-ef29-4cae-ab04-465482bacccb,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{F09511B3-D27F-4002-B848-3BAB84C158AC},2003-CANOD-000000,0.00230609841810292,0.30954225748955
166685,USNVCCD,USNVCCD,USNVCCD,0,X866,Silver  2,2002,7/27/2002 12:00:00 AM,NO,8/2/2002 12:00:00 AM,NO,Natural,Unknown,600,543.66573197,,,,NVC00000,CA,5e12b756-fbe7-4b03-adcf-56e16cf4c333,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{33E3D8CF-532A-42ED-997B-4D7AA0136BFC},2002-NVCCD-000000,0.000227376872771856,0.0880555914839822
166717,Unknown,USNVCCD,USNVCCD,0,J808,Cemetery,1999,9/6/1999 12:00:00 AM,NO,9/9/1999 12:00:00 AM,NO,Human,Unknown,2100,3636.05975024,,,,NVC00000,CA,1c1018f5-710f-4295-b4d4-b09caea0592c,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{F445F410-AA98-440C-ACBE-B0EEC167FA2A},1999-NVCCD-000000,0.00154639230822795,0.317339922314911
166789,USNVCCD,USNVCCD,USNVCCD,0,J797,Martin Nec,1988,7/30/1988 12:00:00 AM,NO,8/1/1988 12:00:00 AM,NO,Natural,Unknown,620,578.28725286,,,,NVC00000,CA,bf138fc1-7c0e-4b21-8328-3e0db743b3e4,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{0F714B5A-88F5-447D-ABF9-084FC6C01659},1988-NVCCD-000000,0.000245676859776722,0.0845696878808806
166801,USNVCCD,USNVCCD,USNVCCD,0,J984,Hal Jnct,1985,7/8/1985 12:00:00 AM,NO,7/8/1985 12:00:00 AM,NO,Natural,Unknown,300,389.73928783,,,,NVC00000,CA,773ef957-c078-493a-8022-807b340d6479,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{8629A1E8-B0DC-49FF-BA9F-55262ADE5806},1985-NVCCD-000000,0.000165759448918834,0.05317218012958
166802,USNVCCD,USNVCCD,USNVCCD,0,J985,Hal Jnct 2,1985,7/8/1985 12:00:00 AM,NO,7/11/1985 12:00:00 AM,NO,Natural,Unknown,1800,1854.91419558,,,,NVC00000,CA,6052f72f-bd33-42cc-9477-d35c2ea6985e,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{E71EE303-65B9-4467-9353-3A7D09900969},1985-NVCCD-000000,0.00078838399349479,0.120107808162281
166803,USNVCCD,USNVCCD,USNVCCD,0,J913,Indian Cr2,1985,6/19/1985 12:00:00 AM,NO,6/21/1985 12:00:00 AM,NO,Natural,Unknown,770,740.32605224,,,,NVC00000,CA,1fc3913e-5c9c-491a-a18f-38f6ce23b927,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{4B10793B-B154-4A06-B3BF-86B4764CB290},1985-NVCCD-000000,0.000310233161144424,0.0785183950071058
166806,USNVCCD,USNVCCD,USNVCCD,0,J789,Hal Jct 6,1984,8/26/1984 12:00:00 AM,NO,8/28/1984 12:00:00 AM,NO,Natural,Unknown,1080,1416.30740523,,,,NVC00000,CA,1e0657f2-ffb6-4a90-89c6-4fd03ec71a23,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{2455EC5E-353D-463A-A95C-5BC63F7FB3BF},1984-NVCCD-000000,0.00060255999551373,0.11938517643568
166892,USNVCCD,USNVCCD,USNVCCD,1258,B1DN,Airport,2005,7/21/2005 12:00:00 AM,NO,7/21/2005 12:00:00 AM,NO,Natural,GPS-Walked,10,9.48900654,,,,NVC00000,CA,39e4fc6f-2386-445f-9174-cc89b2011c14,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{1E89DA40-E225-4F35-AE92-1EFDB93E321C},2005-NVCCD-001258,3.97675557906041E-06,0.010551294435417
166905,USNVHTF,USNVHTF,USNVCCD,1138,CR35,Balls Canyon,2006,6/25/2006 12:00:00 AM,NO,12/31/2006 12:00:00 AM,YES,Natural,GPS-Flight,1809,1840.09014026,,,,CAN01000,CA,1deac333-d49c-4006-bb5f-4bb2fd7dee73,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{4115554E-3367-408B-A5E3-AB660E498F43},2006-NVCCD-001138,0.000780895715251972,0.14947343941624
166908,USCANOD,USNVCCD,USCANOD,2914,CY2J,Ccd Doyle,2006,7/15/2006 12:00:00 AM,NO,7/16/2006 12:00:00 AM,NO,Human,GPS-Walked,26,26.56504587,,,,CAN01000,CA,6428cd62-7e71-4c2d-b8a3-9961c6092bdb,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{40863BE2-BC00-4541-80F5-FA9FF0A7197F},2006-CANOD-002914,1.13312121357012E-05,0.0150879519379878
166912,USCADOY,USNVCCD,USCANOD,3051,C0PQ,Ccd Laver,2006,7/22/2006 12:00:00 AM,NO,7/23/2006 12:00:00 AM,NO,Human,GPS-Walked,148,147.68084225,,,,CAN01000,CA,412e35b5-4b12-4ff7-b41d-563465f47cb3,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{45A16A6A-CA47-45F0-B0A7-36236A599D10},2006-CANOD-003051,6.304909084065E-05,0.0442249013983677
166914,USCANOD,USNVCCD,USCANOD,1546,C2WN,Ccd Sage,2006,8/6/2006 12:00:00 AM,NO,8/7/2006 12:00:00 AM,NO,Natural,GPS-Walked,300,240.02807126,,,,CAN01000,CA,47acfbe9-01cb-407f-b376-18fd2789e6f5,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{6E1796D8-9A0B-4964-9704-DA9E2F59D880},2006-CANOD-001546,0.000102377578514279,0.0590654098800832
166926,USCAOVD,USCAOVD,USCACND,557,DG4M,Larson,2007,6/1/2007 12:00:00 AM,NO,6/12/2007 12:00:00 AM,NO,Natural,Unknown,1100,1080.51244168,,,,CAC07000,CA,ce13f7dd-89c2-4abc-b862-6c3d395c7d91,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{29F7B02D-A57C-48AA-97DB-1FE9B20A45A6},2007-CACND-000557,0.000451712593530829,0.123867754890545
166928,USNVHTF,USNVHTF,USNVCCD,2524,DF4C,Highway,2007,5/21/2007 12:00:00 AM,NO,12/31/2007 12:00:00 AM,YES,Human,Unknown,883,842.08496845,,,,CAN01000,CA,89e919d0-5cc4-4770-b0ec-34aba89d24db,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{25D510BC-CC36-49B8-B52A-808B00783861},2007-NVCCD-002524,0.000356351976279257,0.0909998867104355
166930,USNVHTF,USNVHTF,USNVWNA,3297,A5T0,Cole Complex,2004,6/25/2004 12:00:00 AM,NO,12/31/2004 12:00:00 AM,YES,Natural,Unknown,2838,1989.95144472,,,,CAC01000,CA,0890e5c5-e159-4ac8-ba2a-d0b633a7e18f,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{CCFF36DA-817E-49AA-AD12-C9AA574654A8},2004-NVWNA-003297,0.000832469341730757,0.149787654150578
166931,USCAOVD,USCAOVD,USCACND,735,A6DM,Vittori,2004,6/28/2004 12:00:00 AM,NO,7/3/2004 12:00:00 AM,NO,Human,Unknown,900,728.48003257,,,,CAC07000,CA,27876f49-1104-459d-b674-44bd97eb4ce9,9/9/9999 12:00:00 AM,UNK,9/9/9999 12:00:00 AM,UNK,,,,,{AF9EB07A-7DB4-4109-9E7B-F7F88C800CBE},2004-CACND-000735,0.000304690378015948,0.0964567321132355
